,Fullpathname,Classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,numInnerClasses,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,label
48,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/equipment/EquipmentType.java,EquipmentType,153,9,10,0,3,FALSE,FALSE,2,FALSE,FALSE,8,6,4,14,0,TRUE,FALSE,FALSE,FALSE,TRUE,public,0,0,0,FALSE,Information Holder
49,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/equipment/GasCanister.java,GasCanister,73,4,4,0,4,FALSE,FALSE,2,TRUE,FALSE,0,0,5,2,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
50,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/equipment/LargeBag.java,LargeBag,74,4,4,0,4,FALSE,FALSE,2,FALSE,FALSE,0,0,5,2,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
51,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/equipment/SpecimenBox.java,SpecimenBox,69,4,4,0,4,FALSE,FALSE,2,FALSE,FALSE,0,0,6,2,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
52,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/events/HistoricalEvent.java,HistoricalEvent,171,11,11,1,10,FALSE,FALSE,2,FALSE,FALSE,0,1,3,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,TRUE,Information Holder
53,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/events/HistoricalEventCategory.java,HistoricalEventCategory,69,7,5,0,1,FALSE,FALSE,3,FALSE,FALSE,4,3,3,5,0,TRUE,FALSE,FALSE,FALSE,TRUE,public,0,0,0,FALSE,Information Holder
54,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/events/HistoricalEventListener.java,HistoricalEventListener,32,0,0,0,0,FALSE,FALSE,3,TRUE,FALSE,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,public,0,0,0,FALSE,Service Provider
55,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/events/HistoricalEventManager.java,HistoricalEventManager,263,10,16,0,9,FALSE,FALSE,3,TRUE,FALSE,14,15,10,34,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
56,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/events/SimpleEvent.java,SimpleEvent,149,14,11,0,11,FALSE,FALSE,2,FALSE,FALSE,5,0,3,3,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
57,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/foodProduction/Food.java,Food,160,5,9,0,4,FALSE,FALSE,1,FALSE,FALSE,14,3,1,6,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
58,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/foodProduction/FoodProductionConfig.java,FoodProductionConfig,225,18,5,0,1,FALSE,FALSE,3,FALSE,FALSE,3,6,8,10,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
59,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/foodProduction/FoodProductionProcess.java,FoodProductionProcess,125,6,9,0,5,FALSE,FALSE,3,FALSE,FALSE,2,2,2,4,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
60,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/foodProduction/FoodProductionProcessInfo.java,FoodProductionProcessInfo,240,10,24,9,12,FALSE,FALSE,4,FALSE,FALSE,3,11,4,5,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
61,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/foodProduction/FoodProductionProcessItem.java,FoodProductionProcessItem,90,4,9,3,3,FALSE,FALSE,4,FALSE,FALSE,2,4,2,4,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
62,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/foodProduction/FoodProductionUtil.java,FoodProductionUtil,420,0,14,0,11,FALSE,FALSE,3,FALSE,FALSE,18,18,23,110,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
63,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/foodProduction/FoodType.java,FoodType,26,2,1,0,1,FALSE,FALSE,2,FALSE,FALSE,0,0,1,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,public,0,0,0,FALSE,Information Holder
64,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/foodProduction/FoodUtil.java,FoodUtil,254,1,8,0,4,FALSE,FALSE,2,FALSE,FALSE,15,4,7,36,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
65,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/fxgl/SimWorld.java,SimWorld,5,0,0,0,0,FALSE,FALSE,2,FALSE,FALSE,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
66,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/h2/JavaH2Database.java,JavaH2Database,255,5,8,0,2,TRUE,FALSE,3,FALSE,FALSE,0,1,8,30,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
67,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/hazard/HazardEvent.java,HazardEvent,49,1,0,0,0,FALSE,FALSE,2,FALSE,FALSE,0,0,4,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
68,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/interplanetary/transport/TransitState.java,TransitState,30,5,1,0,1,FALSE,FALSE,2,FALSE,FALSE,0,0,1,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,public,0,0,0,FALSE,Information Holder
69,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/interplanetary/transport/TransportEvent.java,TransportEvent,36,1,0,0,0,FALSE,FALSE,2,FALSE,FALSE,0,0,4,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
70,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/interplanetary/transport/TransportManager.java,TransportManager,190,5,8,0,3,FALSE,FALSE,2,TRUE,FALSE,5,5,14,36,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
71,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/interplanetary/transport/Transportable.java,Transportable,66,2,0,0,0,FALSE,FALSE,1,FALSE,FALSE,0,0,1,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,public,0,0,0,FALSE,Information Holder
72,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/interplanetary/transport/resupply/Resupply.java,Resupply,1532,27,47,10,14,FALSE,FALSE,1,FALSE,FALSE,80,41,49,270,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Interfacer
73,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/interplanetary/transport/resupply/ResupplyConfig.java,ResupplyConfig,353,19,9,0,7,FALSE,FALSE,2,FALSE,FALSE,12,9,15,21,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
74,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/interplanetary/transport/resupply/ResupplyMissionTemplate.java,ResupplyMissionTemplate,45,3,2,0,2,FALSE,FALSE,3,FALSE,FALSE,0,0,1,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
75,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/interplanetary/transport/resupply/ResupplyUtil.java,ResupplyUtil,129,8,3,0,2,FALSE,FALSE,2,FALSE,FALSE,4,1,10,21,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
76,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/interplanetary/transport/settlement/ArrivingSettlement.java,ArrivingSettlement,541,14,31,9,10,FALSE,FALSE,2,FALSE,FALSE,7,16,37,66,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Interfacer
77,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/interplanetary/transport/settlement/ArrivingSettlementUtil.java,ArrivingSettlementUtil,111,4,1,0,0,FALSE,FALSE,3,FALSE,FALSE,5,0,10,8,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
78,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/location/LocationCodeType.java,LocationCodeType,81,24,2,0,1,FALSE,FALSE,3,FALSE,FALSE,0,1,2,2,0,TRUE,FALSE,FALSE,FALSE,TRUE,public,0,0,0,FALSE,Information Holder
79,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/location/LocationSituation.java,LocationSituation,34,7,1,0,1,FALSE,FALSE,2,FALSE,FALSE,0,0,1,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,public,0,0,0,FALSE,Information Holder
80,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/location/LocationState.java,LocationState,47,0,0,0,0,FALSE,FALSE,2,FALSE,FALSE,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,public,0,0,0,FALSE,Information Holder
81,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/location/LocationStateType.java,LocationStateType,79,11,3,0,1,FALSE,FALSE,3,FALSE,FALSE,2,1,1,1,0,TRUE,FALSE,FALSE,FALSE,TRUE,public,0,0,0,FALSE,Information Holder
82,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/location/LocationTag.java,LocationTag,413,14,11,0,7,FALSE,FALSE,2,FALSE,FALSE,42,0,14,121,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
